DEPARTAMENTO,numero homicidios 2016,tasa homicidios 2016
GUAINIA,2,2.37
VAUPES,2,4.54
BOYACA,106,8.37
SANTANDER,275,13.09
SUCRE,112,13.95
SAN ANDRES Y PROVIDENCIA,12,15.56
MAGDALENA,201,15.96
BOGOTA D.C,1265,16.02
CUNDINAMARCA,452,16.59
CESAR,179,17.38
CORDOBA,332,19.24
BOLIVAR,387,19.37
GUAVIARE,22,19.53
GUAJIRA,192,20.19
HUILA,253,21.64
CALDAS,215,21.72
AMAZONAS,17,22.05
ATLANTICO,550,22.73
VICHADA,15,23.07
TOLIMA,324,23.23
CASANARE,87,23.99
NARIÑO,452,25.76
ANTIOQUIA,1864,28.72
CAQUETA,142,29.35
RISARALDA,286,29.67
PUTUMAYO,110,30.33
META,299,30.83
ARAUCA,87,36.2
NORTE DE SANTANDER,513,38.75
CAUCA,532,39.23
CHOCO,186,39.6
QUINDIO,260,46.44
VALLE DEL CAUCA,2380,51.18
