DEPARTAMENTO,viviendas con ocupantes ausentes,viviendas de uso temporal,viviendas desocupadas,viviendas con personas presentes,viviendas,hogares,poblacion
AMAZONAS,341.00,462.00,686.00,15422.00,16911.00,16290.00,66056.00
ANTIOQUIA,70947.00,124578.00,193178.00,1933583.00,2322286.00,1983566.00,5974788.00
ARAUCA,3941.00,4927.00,7798.00,70994.00,87660.00,75261.00,239503.00
ATLANTICO,26361.00,9992.00,47116.00,598179.00,681648.00,625123.00,2342265.00
BOGOTA D.C,33344.00,26233.00,118752.00,2345190.00,2523519.00,2514482.00,7181469.00
BOLIVAR,10654.00,25420.00,53695.00,509169.00,598938.00,542694.00,1909460.00
BOYACA,7882.00,62027.00,80737.00,369111.00,519757.00,381868.00,1135698.00
CALDAS,10647.00,20710.00,37095.00,304509.00,372961.00,309680.00,923472.00
CAQUETA,4306.00,7299.00,16236.00,110525.00,138366.00,116166.00,359602.00
CASANARE,3269.00,11384.00,13951.00,120179.00,148783.00,128130.00,379892.00
CAUCA,24327.00,32268.00,33255.00,367793.00,457643.00,432493.00,1243503.00
CESAR,9047.00,16522.00,32426.00,296535.00,354530.00,316717.00,1098577.00
CHOCO,2221.00,7367.00,17065.00,128125.00,154778.00,133687.00,457412.00
CORDOBA,6684.00,10691.00,36247.00,411879.00,465501.00,466615.00,1555596.00
CUNDINAMARCA,8705.00,104525.00,111047.00,899740.00,1124017.00,945586.00,2792877.00
GUAINIA,72.00,660.00,1308.00,9364.00,11404.00,9953.00,44431.00
GUAJIRA,611.00,9796.00,14260.00,214867.00,239534.00,227367.00,825364.00
GUAVIARE,1832.00,1393.00,3288.00,22146.00,28659.00,22817.00,73081.00
HUILA,12791.00,39969.00,37024.00,301651.00,391435.00,319750.00,1009548.00
MAGDALENA,2615.00,33899.00,39221.00,319306.00,395041.00,343790.00,1263788.00
META,19794.00,23748.00,40122.00,288760.00,372424.00,304244.00,919129.00
NARIÑO,12995.00,25244.00,35386.00,407276.00,480901.00,449275.00,1335521.00
NORTE DE SANTANDER,27574.00,15692.00,51813.00,384715.00,479794.00,398300.00,1346806.00
PUTUMAYO,3418.00,5761.00,10166.00,91508.00,110853.00,107053.00,283197.00
QUINDIO,6942.00,5733.00,16578.00,170054.00,199307.00,174231.00,509640.00
RISARALDA,24051.00,11720.00,33165.00,273259.00,342195.00,277932.00,839597.00
SAN ANDRES Y PROVIDENCIA,133.00,1091.00,989.00,16197.00,18410.00,16354.00,48299.00
SANTANDER,26898.00,46579.00,91730.00,608376.00,773583.00,647157.00,2008841.00
SUCRE,788.00,8534.00,29522.00,229335.00,268179.00,240068.00,864036.00
TOLIMA,10697.00,52012.00,44982.00,406884.00,514575.00,423353.00,1228763.00
VALLE DEL CAUCA,64873.00,41444.00,111276.00,1231570.00,1449163.00,1267039.00,3789874.00
VAUPES,73.00,177.00,261.00,6829.00,7340.00,7020.00,37690.00
VICHADA,184.00,906.00,2009.00,17699.00,20798.00,19162.00,76642.00
